"Frequency Output","Frequency Input","FCC Callsign","Agency/Category","Description","Alpha Tag","PL Tone","Mode","Class Station Code","Tag"
"453.55","458.55","KLO484","Upper Saddle River ","Police Dispatch  Operations","USR Police","203.5 PL","FMN","RM","Law Dispatch"
"453.5625","458.5625","KYU903","Hackensack ","Fire Special OperationsEMS","FD Spec Ops","532 DPL","FMN","RM","Fire-Tac"
"453.5875","0","KB71093","Utilities Utilities ","NW Bergen Co Utilities Auth Waste Water Treatment Plant Waldwick","NWBCUA Plnt","123.0 PL","FMN","M","Utilities"
"453.65","458.65","WPRS250","Rochelle Park ","EMS","RochPk EMS","271 DPL","FMN","RM","EMS Dispatch"
"453.6875","458.6875","KEJ810","Saddle River ","Police 1 Dispatch","PD 1 Disp","123.0 PL","FMN","RM","Law Dispatch"
"453.75","458.75","WPMM312","Allendale","Interops  Mutual Aid Rarely Used","Inter-MA","116 DPL","FMN","RM","Interop"
"453.75","458.75","WPMM312","Allendale","Police 2","Alndale PD 2","315 NAC","P25","RM","Law Tac"
"453.7875","458.7875","KEE458","Waldwick ","Police 1  Primary","Police 1","131.8 PL","FMN","RM","Law Dispatch"
"453.825","458.825","WNVT259","Rutherford ","Police  ","Rthrfrd PD 1","654 NAC","P25E","RM","Law Dispatch"
"453.8875","0","","Paramus ","Operations Primary","7 PRI OPS","311 DPL","FMN","M","Multi-Talk"
"453.9375","0","","Paramus ","Tactical G","15 TAC G","445 DPL","FMN","M","Multi-Tac"
"453.95","0","WQBS603","Maywood ","Maywood Fire 2 TalkAround","FIRE 2","131.8 PL","FMN","BM","Fire-Talk"
"453.95","458.95","WQBS603","Maywood ","Maywood Fire 1","FIRE 1","131.8 PL","FMN","RM","Fire Dispatch"
"453.95","458.95","WQBB977","Rochelle Park ","Fire ","RochPk FD","131.8 PL","FMN","RM","Fire Dispatch"
"453.9625","0","WQTA584","Tenafly ","Fireground","FG","203.5 PL","FMN","M","Fire-Tac"
"453.9875","0","","Paramus ","Tactical H","16 TAC H","411 DPL","FMN","M","Multi-Tac"
"454.19375","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"454.20625","0"," ","  Goosetown Communications","Site 004 Alpine","","","DMR","","TRS"
"454.21875","0"," ","  Goosetown Communications","Site 004 Alpine","","","DMR","","TRS"
"454.21875","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"454.23125","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"454.28125","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"454.29375","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"454.30625","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"458.2375","0","WQIV285","Central Communications","Fire UHF Ch 3 ","TB FD UHF 3","173.8 PL","FMN","M","Fire-Tac"
"458.4625","0","WPPH514","Mahwah ","Fireground","Mahwah Firegrnd","141.3 PL","FMN","M","Fire-Tac"
"458.7875","0","WQIV285","Central Communications","Fire UHF Ch 2","TB FD UHF 2","173.8 PL","FMN","M","Fire-Tac"
"458.8875","0","","Paramus ","Tactical C","11 TAC C","311 DPL","FMN","M","Multi-Tac"
"458.9875","0","","Paramus ","Tactical B","10 TAC B","411 DPL","FMN","M","Multi-Tac"
"460.075","465.075","KEC209","Paramus ","Police 3","6 PD 3","146.2 PL","FM","RM","Law Talk"
"460.1","465.1","WPBG459","Maywood ","Maywood Police CH1","PD 1","031 DPL","FM","RM","Law Dispatch"
"460.125","465.125","KEJ811","Allendale","Police 1","Alndale PD 1","315 NAC","P25","RM","Law Dispatch"
"460.1375","465.1375","WQBR275","East Rutherford ","Fire  Operations","Fire Ops","192.8 PL","FMN","RM","Fire-Talk"
"460.1625","465.1625","WPPH514","Mahwah ","Fire Response and Operations","Mahwah FD Resp","293 NAC","P25","RM","Fire-Tac"
"460.175","465.175","WPBG459","Maywood ","Maywood Police CH2","PD 2","031 DPL","FM","RM","Law Tac"
"460.2","465.2","KNIJ657","Mahwah ","Emergency Management","Mahwah OEM","293 NAC","P25","RM","Emergency Ops"
"460.2625","465.2625","WPPH514","Mahwah ","FireEMS Dispatch","Mahwah FD/EMS Pg","165 DPL","FMN","RM","Fire Dispatch"
"460.2625","465.2625","WPPH514","Mahwah ","DPW","Mahwah DPW","179.9 PL","FMN","RM","Public Works"
"460.2625","0","","Paramus ","Tactical A","9 TAC A","136.5 PL","FMN","M","Multi-Tac"
"460.3625","465.3625","WQPR475","Tenafly ","Fire Dispatch Simulcast of 45120","FD Disp","203.5 PL","FMN","RM","Fire Dispatch"
"460.375","465.375","WQN785","Ramsey ","Police","PD Disp","293 NAC","P25","RM","Law Dispatch"
"460.3875","0","WPQE394","Paramus ","Tactical E  Emergency Management","13 TAC E","445 DPL","FMN","M","Emergency Ops"
"460.425","465.425","KNIJ657","Mahwah ","Police 2","Mahwah PD Ch 2","293 NAC","P25","RM","Law Tac"
"460.45","465.45","WNCM701","Rochelle Park ","Police","RochPk PD","179.9 PL","FMN","RM","Law Dispatch"
"460.4625","465.4625","WPPY904","Mahwah ","Police DispatchEMS Response","Mahwah PD/EMS","293 NAC","P25","RM","Multi-Dispatch"
"460.4625","465.4625","","Paramus ","Operations Secondary","8 SEC OPS","167.9 PL","FMN","RM","Multi-Talk"
"460.5","465.5","KEC209","Paramus ","Police 1","5 PD 1","146.2 PL","FM","RM","Law Dispatch"
"460.5625","0","KYU903","Hackensack ","Fireground UHF","FG UHF","532 DPL","FMN","M","Fire-Tac"
"460.5875","0","","Paramus ","Fireground Secondary","4 SEC FG","136.5 PL","FMN","M","Fire-Tac"
"460.6125","465.6125","WPPG930","Saddle Brook ","EMS","EMS Disp","265 DPL","FMN","RM","EMS Dispatch"
"460.625","465.625","KDN950","Lyndhurst ","FD Station 32 Interior Operations","STA 32/IO","761 NAC","P25","RM","Fire-Tac"
"460.7","0","KNNF947","Teterboro Airport TEB Business Operations","Signature Flight Service Opps","SFS TEB Ops ","141.3 PL","FMN","BM","Business"
"460.875","465.875","WQVK334","Teterboro Airport TEB Business Operations","Teterboro Airport Ground Crews ","Grnd Crews","156 DPL","FMN","RM","Business"
"461.0875","0","","Businesses Retail","DSW Shoe Warehouse Paramus","DSW Shoe","025 DPL","FM","M","Business"
"461.375","466.375","WQSS797","Businesses Meadowlands Race Track","Track Base","Track Base","074 DPL","FMN","RM","Business"
"461.5125","466.5125","WPUA848","Lyndhurst Board of Education","Lyndhurst Twp Board of Education  DistrictWide Emergency","LY-BOE-1/2","293 NAC","P25","RM","Schools"
"461.6125","0"," ","  MetLife Stadium","Site 001 Stadium","","","DMR","","TRS"
"461.8","0"," ","  MetLife Stadium","Site 001 Stadium","","","DMR","","TRS"
"462.1375","0"," ","  MetLife Stadium","Site 001 Stadium","","","DMR","","TRS"
"462.5125","0","WPTQ676","Businesses Retail","Target 1330 Hackensack","Target1330","165 DPL","FMN","M","Business"
"462.725","467.725","WQPY548","GMRS Open Repeaters","Englewood Cliffs","ESYSTEMSS","141.3 PL","FM","RM","Other"
"462.95","467.95","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","Med9 Medical frequency assignments","Med 9","192.8 PL","FM","BM","EMS-Talk"
"462.975","467.975","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","Med10 Medical frequency assignments","Med 10","192.8 PL","FM","BM","EMS-Talk"
"463","468","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","Med1","Med 1","192.8 PL","FM","BM","EMS-Talk"
"463.025","468.025","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","Med2","Med 2","192.8 PL","FM","BM","EMS-Talk"
"463.05","468.05","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","Med3","Med 3","192.8 PL","FM","BM","EMS-Talk"
"463.075","468.075","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","Med4","Med 4","192.8 PL","FM","BM","EMS-Talk"
"463.1","468.1","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","Med5","Med 5","192.8 PL","FM","BM","EMS-Talk"
"463.125","468.125","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","Med6","Med 6","192.8 PL","FM","BM","EMS-Talk"
"463.15","468.15","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","Med7","Med 7","192.8 PL","FM","BM","EMS-Talk"
"463.175","468.175","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","Med8","Med 8","192.8 PL","FM","BM","EMS-Talk"
"463.275","0","","Businesses Meadowlands Race Track","Track Food Stands","Track Food","546 DPL","FMN","M","Business"
"463.3625","0"," ","  MetLife Stadium","Site 001 Stadium","","","DMR","","TRS"
"463.55","468.55","WNMZ654","Bergenfield Board of Education","Operations","Bergfld BOE","","FMN","RM","Schools"
"463.6125","0","","Businesses Bergen Performing Arts Center Englewood","Security","BPAC Sec","311 DPL","FMN","M","Security"
"463.8","468.8","KNDN428","Teterboro Airport TEB Business Operations","Atlantic Aviation Service Opps","AAS TEB Ops","146.2 PL","FMN","RM","Business"
"463.85","468.85","WPQB338","Businesses Retail","Paramus Park Mall  Security","PPM Sec","306 DPL","FMN","RM","Security"
"463.8875","0"," ","  MetLife Stadium","Site 001 Stadium","","","DMR","","TRS"
"463.9375","468.9375","KA42713","Businesses Retail","Fashion Center Paramus Ch 2","FashionCntr2","167.9 PL","FM","RM","Business"
"464.15","469.15","WQSS797","Businesses Meadowlands Race Track","Track Operations","Track Ops","114 DPL","FMN","RM","Business"
"464.1875","0","","Businesses Hotels","Hilton Woodcliff Lake","Hilton/WCL","131.8 PL","FMN","BM","Business"
"464.2625","0"," ","  MetLife Stadium","Site 001 Stadium","","","DMR","","TRS"
"464.4125","0"," ","  MetLife Stadium","Site 001 Stadium","","","DMR","","TRS"
"464.45","469.45","WQFV626","Fairlawn Board of Education","Board of Education School Buses","FrLwn BOE","","FMN","RM","Schools"
"464.475","469.47","WNLY652","Businesses Retail","Paramus Park Mall  Maint ","PPM Maint","631 DPL","FM","RM","Business"
"464.55","0","WPIV997","Businesses Industry","Mercedez Benz Corporate Office  Special Events 5","S-Events 5","654 DPL","FM","M","Business"
"464.55","0","","Businesses Other","The Cupola Assisted Living","CUPOLA","192.8 PL","FMN","M","Business"
"464.55","0","","Businesses Retail","ShopRite Lyndhurst","ShopRite","67.0 PL","FM","M","Business"
"464.625","469.625","WPLU693","Businesses Retail","Garden State Plaza Security Paramus","GSP Sec","CC 10|TG 11|SL 1","DMR","RM","Security"
"464.6375","469.6375","WPIV997","Businesses Industry","Mercedez Benz Corporate Office  Operations 1","Operations 1","125 DPL","FM","RM","Business"
"464.6375","0","WPIV997","Businesses Industry","Mercedez Benz Corporate Office  Special Events 6","S-Events 6","025 DPL","FM","M","Business"
"464.675","469.675","WPDG674","Teterboro Airport TEB Business Operations","Jet Aviation Service","Jet Av Srvs","263 DPL","FMN","RM","Business"
"464.6875","469.6875","WQPF442","Dumont","Dumont Volunteer Ambulance","Dumont EMS 2","464 DPL","FMN","RM","EMS-Tac"
"464.7625","0"," ","  MetLife Stadium","Site 001 Stadium","","","DMR","","TRS"
"464.825","469.825","KB84401","Ramapo Indian Hills Regional High School Franklin Lakes","Operations F1 F2 Simplex  Talk Around","RIHRHS","123.0 PL","FMN","RM","Schools"
"464.8375","469.8375","WPIV997","Businesses Industry","Mercedez Benz Corporate Office  Operations 2","Operations 2","","FM","RM","Business"
"464.925","0","WPIV997","Businesses Industry","Mercedez Benz Corporate Office  Engineering Simplex","Engineering2","223 DPL","FM","M","Business"
"464.925","469.925","WPIV997","Businesses Industry","Mercedez Benz Corporate Office  Special Events 13","S-Events 1/3","306 DPL","FM","RM","Business"
"464.925","469.925","WPIV997","Businesses Industry","Mercedez Benz Corporate Office  Security","Security","114 DPL","FM","RM","Security"
"464.925","0","WPIV997","Businesses Industry","Mercedez Benz Corporate Office  Special Events 4","S-Events 4","654 DPL","FM","M","Business"
"464.925","0","WPIV997","Businesses Industry","Mercedez Benz Corporate Office  Special Events 2","S-Events 2","315 DPL","FM","M","Business"
"464.925","469.925","WPIV997","Businesses Industry","Mercedez Benz Corporate Office  Engineering Repeater","Engineering1","565 DPL","FM","RM","Business"
"464.925","469.925","WPIV997","Businesses Industry","Mercedez Benz Corporate Office  Maintenance","Maintenance","565 DPL","FM","RM","Business"
"465.3875","0","WPQE394","Paramus ","Tactical F","14 TAC F","445 DPL","FMN","M","Multi-Tac"
"465.6125","0","WPPG930","Paramus ","Fireground Primary","3 PRI FG","167.9 PL","FMN","M","Fire-Tac"
"467.7625","0","","Bergen County Technical Schools Paramus Campus","School Operations and Security","BCTS PRMS","141.3 PL","FMN","M","Schools"
"467.8125","0","","Dumont","Fireground 3","FD FG3","162.2 PL","FMN","BM","Fire-Tac"
"467.8125","0","","Lodi","Fireground New","Fireground","162.2 PL","FMN","M","Fire-Tac"
"467.8125","0","WPUA848","Lyndhurst Board of Education","Lyndhurst Twp Board of Education  DistrictWide 3","LY-BOE-3","241.8 PL","FMN","M","Schools"
"467.925","0","","Dumont","Fireground 2","FD FG2","162.2 PL","FMN","BM","Fire-Tac"
"468.2125","0","WPUA848","Lyndhurst Board of Education","Lyndhurst Twp Board of Education  DistrictWide 4","LY-BOE-4","241.8 PL","FMN","M","Schools"
"468.5375","0","WPUA848","Lyndhurst Board of Education","Lyndhurst Twp Board of Education  DistrictWide 5","LY-BOE-5","250.3 PL","FMN","M","Schools"
"468.6875","0","WPUA848","Lyndhurst Board of Education","Lyndhurst Twp Board of Education  DistrictWide 6","LY-BOE-6","250.3 PL","FMN","M","Schools"
"468.9","0","","Businesses Bergen Performing Arts Center Englewood","Operations","BPAC Ops","179.9 PL","FMN","M","Business"
"469.2625","0","WPMB941","Dumont","Fireground 1","FD FG1","162.2 PL","FMN","M","Fire-Tac"
"469.7125","0","","Businesses Hotels","AmeriSuites Fairlawn","AS-2","306 DPL","FM","M","Business"
"469.775","0","KA42713","Businesses Retail","Fashion Center Paramus Ch 1","FashionCntr1","167.9 PL","FM","M","Business"
"469.925","0","","Businesses Hotels","AmeriSuites Fairlawn","AS-1","306 DPL","FM","M","Business"
"470.05","0"," ","  Fort Lee Borough","Site 001 Primary","","","Project 25","","TRS"
"470.1625","0"," ","  Bergen County","Site 001 South Simulcast","","","Project 25","","TRS"
"470.1875","0"," ","  Fort Lee Borough","Site 001 Primary","","","Project 25","","TRS"
"470.275","0"," ","  Fort Lee Borough","Site 001 Primary","","","Project 25","","TRS"
"470.3125","473.3125","KYF628","Englewood Cliffs ","Police Dispatch","EngClfs PD","100.0 PL","FMN","RM","Law Dispatch"
"470.3625","473.3625","KYM819","Fair Lawn ","EMS Dispatch PD Ch6","FrLwnEMSDisp","173.8 PL","FMN","RM","EMS Dispatch"
"470.4","473.4","WQGG793","Franklin Lakes ","Police","FrnkLkPolice","293 NAC","P25","RM","Law Dispatch"
"470.475","473.475","WPLP843","New Milford ","Police 1","PD 1","114.8 PL","FMN","RM","Law Dispatch"
"470.5375","0","WIJ900","Fair Lawn ","Fire Ch 3 Tactical","FrLwnFD3 Tac","136.5 PL","FMN","BM","Fire-Tac"
"470.65","473.65","WPLV561","Ridgewood ","Emergency Management 2","RW OEM 2","156.7 PL","FMN","RM","Emergency Ops"
"470.875","0"," ","  Bergen County","Site 002 North Simulcast","","","Project 25","","TRS"
"470.95","473.95","WPLP843","New Milford ","Police 2","PD 2","118.8 PL","FMN","RM","Law Talk"
"471.125","0"," ","  Bergen County","Site 002 North Simulcast","","","Project 25","","TRS"
"472.125","0","WQCS871","Fair Lawn ","Police Ch 3 Tactical","FrLwnPD3 Tac","043 DPL","FMN","M","Law Tac"
"472.225","0"," ","  Bergen County","Site 002 North Simulcast","","","Project 25","","TRS"
"472.3","475.3","WPUP466","Elmwood Park ","Police  EMS Paging","PD/EMS Disp","123.0 PL","FMN","RM","Multi-Dispatch"
"472.325","0"," ","  Bergen County","Site 002 North Simulcast","","","Project 25","","TRS"
"472.35","475.35","WQCG323","Oradell ","Police","Police 472","162.2 PL","FMN","RM","Law Dispatch"
"472.375","475.375","WPLV561","Ridgewood ","Emergency Management 1","RW OEM 1","156.7 PL","FMN","RM","Emergency Ops"
"472.45","475.45","WIH520","Sheriff","Sheriff 1  Court House","SHF Court 1","156.7 PL","FMN","RM","Law Talk"
"472.6375","0"," ","  Bergen County","Site 001 South Simulcast","","","Project 25","","TRS"
"472.7125","0"," ","  Bergen County","Site 001 South Simulcast","","","Project 25","","TRS"
"472.85","475.85","WPTV848","East Rutherford ","Police F1 F2 Repeater Talk Around","Police 1/2","312 NAC","P25","RM","Law Dispatch"
"472.9","0"," ","  Bergen County","Site 002 North Simulcast","","","Project 25","","TRS"
"472.925","475.925","WQOG841","Sheriff","Sheriff 2  Court House","SHF Court 2","156.7 PL","FMN","RM","Law Talk"
"472.9625","475.9625","WIJ900","Fair Lawn ","Fire Ch 1 Dispatch","FrLwnFD1Disp","131.8 PL","FMN","RM","Fire Dispatch"
"472.9625","0","WIJ900","Fair Lawn ","Fire Ch 2 Fireground","FrLwnFD 2 FG","131.8 PL","FMN","M","Fire-Tac"
"476.05","0"," ","  Fort Lee Borough","Site 001 Primary","","","Project 25","","TRS"
"476.1","0"," ","  Fort Lee Borough","Site 001 Primary","","","Project 25","","TRS"
"476.2625","0"," ","  Fort Lee Borough","Site 001 Primary","","","Project 25","","TRS"
"476.65","479.65","WIH520","Sheriff","Sheriff  Jail Operations","SHF Jail","156.7 PL","FMN","RM","Corrections"
"477.1625","0"," ","  Bergen County","Site 001 South Simulcast","","","Project 25","","TRS"
"477.1875","0"," ","  Bergen County","Site 001 South Simulcast","","","Project 25","","TRS"
"477.2125","0"," ","  Bergen County","Site 002 North Simulcast","","","Project 25","","TRS"
"477.25","480.25","WPTN580","Dumont","Police Ch 1 Dispatch","PD 1 Disp","141.3 PL","FMN","RM","Law Dispatch"
"477.2875","480.2875","WIL811","Law Enforcement Interops","UHF Trunk System Patch","Interops UHF","156.7 PL","FMN","RM","Interop"
"477.375","480.375","WPTN580","Dumont","Fire  EMS Dispatch","FD/EMS Disp","192.8 PL","FMN","RM","Fire Dispatch"
"477.4","480.4","WPYR942","Fair Lawn ","Police Ch 1","FrLwnPD 1","173.8 PL","FMN","RM","Law Dispatch"
"477.4","0","WPYR942","Fair Lawn ","Police Ch 2 TalkAround","FrLwnPD 2 TA","173.8 PL","FMN","M","Law Talk"
"477.5125","0"," ","  Bergen County","Site 001 South Simulcast","","","Project 25","","TRS"
"477.5375","0"," ","  Bergen County","Site 001 South Simulcast","","","Project 25","","TRS"
"477.6","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"477.6125","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"478.1875","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"478.2375","481.2375","WII927","Businesses Fire Photography Firebuffs","Metro Fire Radio North Alpine","MFR North","465 DPL","FM","RM","Media"
"478.3625","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"478.4375","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"478.5875","0"," ","  Bergen County","Site 001 South Simulcast","","","Project 25","","TRS"
"478.7875","0"," ","  OneVoice Network","Site 013 Alpine","","","DMR","","TRS"
"481.425","0","","Dumont","Police Ch 2","PD 2","205 DPL","FMN","BM","Law Tac"
"482.625","485.625","WQNU373","Bogota ","Police Dispatch","Bogo PD Disp","131 DPL","FMN","RM","Law Dispatch"
"483.85","486.85","KEC626","Lodi","FD Dispatch","FD Disp","156 DPL","FMN","RM","Fire Dispatch"
"500.6625","503.6625","WIL942","Ridgefield Park ","Police","1/2","146.2 PL","FMN","RM","Law Dispatch"
"500.7875","503.7875","WPLX446","Garfield","Police Ch 1","Police 1","734 DPL","FM","RM","Law Dispatch"
"500.9125","0","WPMV488","Garfield","Fire Ch 2 Fireground","Fire 2 FG","065 DPL","FMN","M","Fire-Tac"
"500.9375","503.9375","WPLU548","Fort Lee","Emergency Management 1","OEM 1","054 DPL","FMN","RM","Emergency Ops"
"501.0125","504.0125","WPLX623","Wallington ","Police Main Units 2429","Wal Police","123 NAC","P25","RM","Law Dispatch"
"501.1625","504.1625","","Cliffside Park ","Emergency Management","OEM","506 DPL","FMN","RM","Emergency Ops"
"501.1625","0","","Fort Lee","Emergency Management 2","OEM 2","506 DPL","FMN","M","Emergency Ops"
"501.3125","504.3125","WIL824","Cliffside Park ","Police","PD Disp","116 DPL","FMN","RM","Law Dispatch"
"501.4375","504.4375","WPLX683","Sheriff","Sheriff  Jail 1","SHF Jail 1","023 DPL","FMN","RM","Corrections"
"501.5125","504.5125","WPLX446","Garfield","Police Ch 2","Police 2","205 DPL","FM","RM","Law Dispatch"
"501.5625","504.5625","WIM835","Carlstadt","Police Dispatch","Carls PD Disp","167 NAC","P25","RM","Law Dispatch"
"501.5875","504.5875","WPLX446","Garfield","Fire Ch 1 Dispatch","Fire 1 Disp","065 DPL","FM","RM","Fire Dispatch"
"501.6125","504.6125","WQOE281","East Rutherford ","Police F3 Met Life and RT 120 Ops","PD 3 MetLife","312 NAC","P25","RM","Law Talk"
"501.7625","504.7625","WIM315","Cliffside Park ","Fire Dispatch UHF","FD 1 Disp (UHF)","445 DPL","FMN","RM","Fire Dispatch"
"501.7875","504.7875","WIL791","Moonachie ","Police","PD Disp","054 DPL","FM","RM","Law Dispatch"
"501.8125","504.8125","WPLX683","Sheriff","Sheriff  Jail 2","SHF Jail 2","023 DPL","FMN","RM","Corrections"
"501.8625","504.8625","WPLX623","Wallington ","Fire Dispatch ToneOuts","Wal Fire 1","331 DPL","FMN","RM","Fire Dispatch"
"502.0375","505.0375","WPLX683","Sheriff","Sheriff  Jail 3","SHF Jail 3","023 DPL","FMN","RM","Corrections"
"502.0625","505.0625","WPLX623","Wallington ","Fireground","Wal Fire 2","","FMN","RM","Law Tac"
"502.3375","505.3375","WPLX616","East Rutherford ","Police F5 MeadowlandInterop","PD 5 Medlnd","312 NAC","P25","RM","Law Tac"
"502.4125","505.4125","WPLS997","Wallington ","Police Secondary Rarely Used","Wal Police 2","123 NAC","P25","RM","Law Tac"
"502.5875","0","WPMV488","Garfield","Fire Ch 3 Fireground","Fire 3 FG","065 DPL","FMN","M","Fire-Tac"
"506.3875","509.3875","","Bogota ","Police 2","Bogota PD 2","506 DPL","FMN","RM","Law Tac"
"146.535","","","","","","","","",""
